,label,tweet_id,tweet_texts
19,sympathy_and_emotional_support,'591902698800295936',"RT @BBCBreaking: More than 100 killed in powerful Nepal #earthquake, say government officials and police http://t.co/uwtNJp74EE http://t.co‰Û_"
20,other_useful_information,'591902698879856640',"RT @iamsrk: May Allah look after all. Here r the emergency contact numbers for Nepal,share, help. Prayers with all in Nepal.
http://t.co/Pz‰Û_"
21,sympathy_and_emotional_support,'591902698900889601',
22,sympathy_and_emotional_support,'591902699307708416',RT @dawn_com: Pakistan offers assistance to Nepal and India in wake of the devastating earthquake http://t.co/1geXgxpgyV
23,missing_trapped_or_found_people,'591902699580428289',"TV: 2 Dead, 100 Injured in Bangladesh From Nepal Quake: TV report: 2 dead, 100 injured in Bangladesh from eart... http://t.co/diZqW1CkBV"
24,sympathy_and_emotional_support,'591902700037656576',RT @thefinebros: Thoughts with the people near the earthquake in Nepal. http://t.co/Bc0kK4R9iP
25,other_useful_information,'591902700108980225',May God gives courage to the people of Nepal who are fighting from #earthquake.
26,donation_needs_or_offers_or_volunteering_services,'591902700524150784',
27,not_related_or_irrelevant,'591902700867981312',
28,donation_needs_or_offers_or_volunteering_services,'591902700947808256',"Thinking of the people in Nepal, how awful _Ù÷_"
29,other_useful_information,'591902701711065088',"RT @SinghRPN: #IndiaWithNepal My thoughts with those affected in Nepal quake.Very strong tremors in Padrauna, Kushinagar too,we're just bor‰Û_"
30,sympathy_and_emotional_support,'591902701727850496',RT @Bharat_Putra: Globmaster Hercules to be sent to Nepal for rescue Mission #earthquake
31,donation_needs_or_offers_or_volunteering_services,'591902701904101377',RT @sachinandode: Google person finder link for India and #Nepal #earthquake  http://t.co/p6DYGgARXb #Kathmanduquake
32,donation_needs_or_offers_or_volunteering_services,'591902701967007744',"Nepal #earthquake triggers #avalanche on north Mt Qomolangma (Everest), altitude 7,000m in China's Tibet; 400 climbers no casualty"
33,donation_needs_or_offers_or_volunteering_services,'591902702285664256',RT @rizalzulkapli: Images from Everest Base Camp by UTM student Azim Afif following the quake #Kathmandu @501Awani UTM camp is safe. http:/‰Û_
34,injured_or_dead_people,'591902702583459841',
35,donation_needs_or_offers_or_volunteering_services,'591902702709280768',Ah shit https://t.co/orQVo6p8hF
36,donation_needs_or_offers_or_volunteering_services,'591902704454258689',RT @skyviewpixuk: Our thoughts are with the people of #Nepal who have suffered an earthquake with a magnitude of 7.9 #PrayForNepal #Natural‰Û_
37,other_useful_information,'591902704592523265',RT @vikaskyogi: Helpline numbers to contact Indian Embassy in Nepal: 00977-9851107021; 00977-9851135141
38,donation_needs_or_offers_or_volunteering_services,'591902704793976832',Strong earthquake strikes Nepal http://t.co/ceJosMFdg2
39,sympathy_and_emotional_support,'591902704970010624',"RT @iamsrk: May Allah look after all. Here r the emergency contact numbers for Nepal,share, help. Prayers with all in Nepal.
http://t.co/Pz‰Û_"
40,other_useful_information,'591902705276313600',
41,injured_or_dead_people,'591902705376985088',RT @WFMY: 7.9 magnitude earthquake hits Nepal http://t.co/dsahC4LuCw http://t.co/Zr43OlNn39
42,injured_or_dead_people,'591902705397956608',RT @AJENews: Police say at least 108 people killed after the 7.9 magnitude earthquake in Nepal http://t.co/kOXW94NOA8 http://t.co/DkwD3dyvl7
43,infrastructure_and_utilities_damage,'591902706421215233',"RT @BreakingNews: More than 100 people killed in powerful Nepal earthquake, say government officials and police - @BBCNews http://t.co/1FiK‰Û_"
44,other_useful_information,'591902706547105793',
45,injured_or_dead_people,'591902706899365888',RT @Anon_Snufkin: @ProfSuryaDeva people finder https://t.co/ImLGE2YKOI live quake map http://t.co/bucjuchO6w emergency numbers #Nepal http:‰Û_
46,sympathy_and_emotional_support,'591902707939713024',RT @muftimenk: Pray for #Nepal where a powerful earthquake has struck. May the Almighty grant them ease to face this calamity with utmost s‰Û_
47,donation_needs_or_offers_or_volunteering_services,'591902708610822144',"RT @NewEarthquake: 5.0 earthquake, 15km NNE of Nagarkot, Nepal. Apr 25 13:32 at epicenter (26m ago, depth 10km). http://t.co/5EehbW7Odl"
48,other_useful_information,'591902708988121089',"TV: 2 Dead, 100 Injured in Bangladesh From Nepal Quake: TV report: 2 dead, 100 injured in Bangladesh from eart... http://t.co/J6TdpLTdGr"
49,donation_needs_or_offers_or_volunteering_services,'591902709084631040',"RT @EconomicTimes: Collapsed buildings at Lalitpur, on the outskirts of Kathmandu #NepalQuake http://t.co/7lKXmUlv5y"
50,other_useful_information,'591902709445361665',RT @BBCBreaking: Pictures from Kathmandu show damage of 7.9 magnitude #earthquake; reports of injuries http://t.co/HDOgZ7UDka http://t.co/y‰Û_
51,other_useful_information,'591902709579698176',
52,not_related_or_irrelevant,'591902709634113536',RT @iamsrk: ‰ÛÏ@googleindia: We‰Ûªve just launched a Person Finder instance to help track missing persons for the #Nepal earthquake‰ÛÓ&gt;http://t.c‰Û_
53,injured_or_dead_people,'591902710191951873',
54,donation_needs_or_offers_or_volunteering_services,'591902710275788800',": #EarthquakeInNepal
Helpline Numbers of Indian Embassy in Kathmandu :

977 98511 07201
977 98511 35141

Please Help by Re-tweeting."""
55,sympathy_and_emotional_support,'591902710560985088',"TV: 2 Dead, 100 Injured in Bangladesh From Nepal Quake: TV report: 2 dead, 100 injured in Bangladesh from eart... http://t.co/53MVktMd6O"
56,displaced_people_and_evacuations,'591902710653325313',
57,donation_needs_or_offers_or_volunteering_services,'591902710795997184',RT @AFP: #BREAKING At least 114 killed in Nepal earthquake: home ministry
58,displaced_people_and_evacuations,'591902710951190528',
59,sympathy_and_emotional_support,'591902711018233856',"RT @deemen: Pictures from Kathmandu show damage of 7.9 magnitude #earthquake http://t.co/S5bEn8Gunf http://t.co/xUdBoXXU9G"""
60,other_useful_information,'591902711030812673',
61,other_useful_information,'591902711110471680',
62,other_useful_information,'591902711164973056',RT @AFP: #BREAKING At least 114 killed in Nepal earthquake: home ministry
63,sympathy_and_emotional_support,'591902711223816192',"BREAKING NEWS 7.9 earthquake hits Nepal, causing damage, injuries http://t.co/uktcaJWir3"
64,caution_and_advice,'591902711265636352',"RT @XHNews: Buildings collapse in #Kathmandu after M7.7 #earthquake hits #Nepal, casualties are feared http://t.co/nKUAZ2asRM"
65,donation_needs_or_offers_or_volunteering_services,'591902711316111360',"RT @BBCBreaking: More than 100 killed in powerful Nepal #earthquake, say government officials and police http://t.co/uwtNJp74EE http://t.co‰Û_"
66,donation_needs_or_offers_or_volunteering_services,'591902711437598720',"RT @SRKCHENNAIFC: Here are the emergency contact numbers for Nepal, share, help. Our prayers are with all in Nepal.
http://t.co/dPCOXcZ1TP"
67,injured_or_dead_people,'591902711496347648',7.9 magnitude earthquake hits Nepal http://t.co/t9oQXa13Xz
68,not_related_or_irrelevant,'591902711538425856',"RT @IndiaToday: In the wake of the #earthquake in Nepal, a 24 hour control room has been set up by the MEA. http://t.co/Cq18N7HKf2"
69,donation_needs_or_offers_or_volunteering_services,'591902711647379457',#News: Nepal's Home Ministry Says at Least 71 People Killed in the Earthquake: Nepal's Home Ministry says ... http://t.co/ysft9aHVzt #TU
70,missing_trapped_or_found_people,'591902712049967104',RT @drharshvardhan: Feel bad and sorry for over100 reported deaths due to earthquake in Nepal Praying for their souls to rest in peace. My ‰Û_
71,donation_needs_or_offers_or_volunteering_services,'591902712138043392',Nepal helpline for Earthquake... https://t.co/YeloaXglFb
72,not_related_or_irrelevant,'591902712582656001',RT @ANI_news: Latest pics sent to ANI from Kathmandu of #earthquake aftermath http://t.co/2tWgyFeMGf
73,other_useful_information,'591902712603615232',
74,other_useful_information,'591902712729444352',"Magnitude-7.9 quake hits Nepal, causing big damage, injuries: The damage includes toppled walls and collapsed ... http://t.co/nSsCerFYBq"
75,donation_needs_or_offers_or_volunteering_services,'591902712783970304',"RT @AP: Key facts about Nepal, site of magnitude-7.9 quake: http://t.co/q4Vdc6gEuG"
76,donation_needs_or_offers_or_volunteering_services,'591902712838500352',RT @TOIIndiaNews: Emergency contact numbers in Nepal http://t.co/7vrPsbtBOY
77,displaced_people_and_evacuations,'591902712838553600',"RT @timesofindia: #Earthquake | Helpline numbers of the Indian Embassy in Nepal: 
+977 9581107021 

+977 9851135141"
78,donation_needs_or_offers_or_volunteering_services,'591902713048276994',Divastating earthquake shakes the soul of the people #Nepal
79,sympathy_and_emotional_support,'591902713178234880',"Strong earthquake rocks Nepal, damages Kathmandu. Many feared killed. Tremors felt as far away as Delhi.
http://t.co/KkpkxV1QXv"
80,other_useful_information,'591902713358626816',"#News: TV: 2 Dead, 100 Injured in Bangladesh From Nepal Quake: TV report: 2 dead, 100 injured in Banglades... http://t.co/qXIhMnelbw #TU"
81,donation_needs_or_offers_or_volunteering_services,'591902713719300096',RT @BBCBreaking: Pictures from Kathmandu show damage of 7.9 magnitude #earthquake; reports of injuries http://t.co/HDOgZ7UDka http://t.co/y‰Û_
82,donation_needs_or_offers_or_volunteering_services,'591902714558156800',"Magnitude-7.9 quake hits Nepal, causing big damage, injuries: The damage includes toppled walls and collapsed ... http://t.co/7OaKVqGxSx"
83,injured_or_dead_people,'591902714893729793',"RT @maryam0904: We can imagine the pain #Nepal is going through right now :( Experienced same situation in 2005 #Balakot
#earthquake 
Condo‰Û_"
84,donation_needs_or_offers_or_volunteering_services,'591902714944032768',"RT @JulieMakLAT: Awful sight. Kathmandu's Darbar Square, a UNESCO World Heritage site, in ruins after today's earthquake. RT @rkarnad http:‰Û_"
85,donation_needs_or_offers_or_volunteering_services,'591902715199893504',Spread the word https://t.co/H2vwTwZKkA
86,donation_needs_or_offers_or_volunteering_services,'591902715292340224',
87,missing_trapped_or_found_people,'591902715317477376',RT @MPNaveenJindal: Thoughts and prayers with people affected by the tragic #earthquake in Nepal &amp; in India.The details of death &amp; casualti‰Û_
88,sympathy_and_emotional_support,'591902715392864256',"TV: 2 Dead, 100 Injured in Bangladesh From Nepal Quake: TV report: 2 dead, 100 injured in Bangladesh from eart... http://t.co/2iplpOkGSS"
89,donation_needs_or_offers_or_volunteering_services,'591902715598348288',
90,not_related_or_irrelevant,'591902715883618304',"MEA opens 24 hour Control Room for queries regarding the Nepal Earthquake. 
Numbers:
+91 11 2301 2113
+91 11 2301 4104
+91 11 2301 7905"
91,donation_needs_or_offers_or_volunteering_services,'591902715955019776',RT @iamsrk: ‰ÛÏ@googleindia: We‰Ûªve just launched a Person Finder instance to help track missing persons for the #Nepal earthquake‰ÛÓ&gt;http://t.c‰Û_
92,other_useful_information,'591902716043075584',"RT @poetica746: It is also climbing season and there are many Sherpa villages near Everest, over 5000 m. Avalanches being reported. #Nepal ‰Û_"
93,missing_trapped_or_found_people,'591902716160450562',RT @ABC: Witness: Nepal quake was massive; Kathmandu is crumbling: http://t.co/yXKpIsBixf - @mollymhunter http://t.co/jDDix7qjuZ
94,donation_needs_or_offers_or_volunteering_services,'591902716592422912',RT @G_Whizzz: Just in --&gt; People work to free a man trapped by rubble in #Kathmandu after earthquake hits #Nepal http://t.co/trtz25ZERC
95,sympathy_and_emotional_support,'591902716877647872',"RT @WSJ: Nepal earthquake in maps, tweets and pictures. http://t.co/bYP1azbIjO http://t.co/lZVjhnCmKi"
96,donation_needs_or_offers_or_volunteering_services,'591902716940587008',RT @muftimenk: Pray for #Nepal where a powerful earthquake has struck. May the Almighty grant them ease to face this calamity with utmost s‰Û_
97,donation_needs_or_offers_or_volunteering_services,'591902717083328512',
98,injured_or_dead_people,'591902717313822720',"RT @WSJIndia: Nepal earthquake in maps, tweets and pictures. http://t.co/r2dutGFpMD http://t.co/wd4YCEfdyz"
99,other_useful_information,'591902717464875008',RT @iamsrk: ‰ÛÏ@googleindia: We‰Ûªve just launched a Person Finder instance to help track missing persons for the #Nepal earthquake‰ÛÓ&gt;http://t.c‰Û_
100,donation_needs_or_offers_or_volunteering_services,'591902717938765824',RT @Gurmeetramrahim: #MSGHelpEarthquakeVictims Shocked!!!hearing earthquake in Nepal n some parts of India. I pray to GOD to save His child‰Û_
101,other_useful_information,'591902718081441792',
102,injured_or_dead_people,'591902718127550465',"Prayers for the affected people across #SouthAsia by the horrible #earthquake!
#India #Bangladesh #Pakistan  #Afganistan #Bhutan #Nepal"
103,donation_needs_or_offers_or_volunteering_services,'591902718286954496',
104,donation_needs_or_offers_or_volunteering_services,'591902718584758274',
105,other_useful_information,'591902718626664448',"RT @IndiaToday: In the wake of the #earthquake in Nepal, a 24 hour control room has been set up by the MEA. http://t.co/Cq18N7HKf2"
106,infrastructure_and_utilities_damage,'591902718865842177',RT @pintiparada: Nepal earthquake first picture | India TV News http://t.co/yza82Up9f5 #IndiaTV vÌ_a @indiatvnews http://t.co/OIEqEb44BQ
107,donation_needs_or_offers_or_volunteering_services,'591902719104983040',
108,not_related_or_irrelevant,'591902719264174080',"MEA opens 24 hour Control Room for queries regarding the Nepal #Earthquake.åÊ
Numbers:
+91 11 2301 2113
+91 11 2301 4104
+91 11 2301 7905"
109,donation_needs_or_offers_or_volunteering_services,'591902719784390657',
110,other_useful_information,'591902719843139584',"RT @BBCBreaking: More than 100 killed in powerful Nepal #earthquake, say government officials and police rest and peace"
111,donation_needs_or_offers_or_volunteering_services,'591902720149168129',RT @EconomicTimes: An injured child receives treatment outside Medicare Hospital in Kathmandu (Image: AP) http://t.co/bTF0djZakq
112,injured_or_dead_people,'591902720426123264',"RT @BBCBreaking: Nepal #earthquake latest:

- reports of avalanches in Everest
- temples flattened
- unknown numbers killed &amp; injured http:‰Û_"
113,sympathy_and_emotional_support,'591902721118048256',"RT @ParagRudani: Shame of you @ndtv  ...you are posting fake images of kathmandu earthquake..
#BeshramNDTV @BDUTT #earthquake 
http://t.co/‰Û_"
114,sympathy_and_emotional_support,'591902721847857153',RT @iamsrk: ‰ÛÏ@googleindia: We‰Ûªve just launched a Person Finder instance to help track missing persons for the #Nepal earthquake‰ÛÓ&gt;http://t.c‰Û_
115,infrastructure_and_utilities_damage,'591902721856253953',RT @manila_bulletin: BREAKING: At least 114 killed in Nepal earthquake: home ministry - Read http://t.co/ZvK4D2qBB7 http://t.co/ObhzDUWB3G
116,missing_trapped_or_found_people,'591902721927708673',"RT @BBCBreaking: More than 100 killed in powerful Nepal #earthquake, say government officials and police http://t.co/uwtNJp74EE http://t.co‰Û_"
117,missing_trapped_or_found_people,'591902722082754561',"MEA Opens 24 hour Control Room for queries regarding the Nepal #Earthquake. Numbers:
+91 11 2301 2113
+91 11 2301 4104
+91 11 2301 7905"
118,injured_or_dead_people,'591902722305224704',Thoughts to those in #Nepal. Devastating.
119,sympathy_and_emotional_support,'591902722430873600',RT @TelegraphPics: In pictures: Man is lucky to be rescued as massive earthquake hits Nepal http://t.co/wmPv8yzmwJ http://t.co/79QJh8kTdI
120,sympathy_and_emotional_support,'591902722535751681',RT @ABC: BREAKING: Significant damage in Kathmandu after major earthquake strikes Nepal: http://t.co/yXKpIsBixf http://t.co/kd20lXb4pN
121,donation_needs_or_offers_or_volunteering_services,'591902722539958272',Latest video: https://t.co/dvQcGINxrw
122,sympathy_and_emotional_support,'591902722829328384',"RT @Kapil_FC: My Prayers stand by the ppl living in Nepal...
I hope everyone is fine ..."
123,missing_trapped_or_found_people,'591902722904883200',RT @Jagdeepjaswal: prayers go out to all those affected by the earthquake ... _Ù÷Ó #earthquake #Nepal
124,not_related_or_irrelevant,'591902722938503168',
125,donation_needs_or_offers_or_volunteering_services,'591902722972069888',"Strong #earthquake  rocks #Nepal, damages #Kathmandu  - http://t.co/NRfuXu5LTB"
126,not_related_or_irrelevant,'591902723185868800',RT @TimesNow: Over 110 killed in earthquake: Nepal Home Ministry (PTI)
127,missing_trapped_or_found_people,'591902723307479041',"RT @BBCBreaking: More than 100 killed in powerful Nepal #earthquake, say government officials and police http://t.co/uwtNJp74EE http://t.co‰Û_"
128,other_useful_information,'591902723311857664',
129,donation_needs_or_offers_or_volunteering_services,'591902723416596480',RT @siobhanheanue: Kathmandu patan district. Old royal square devastated. http://t.co/Fq0CSRgeGM
130,donation_needs_or_offers_or_volunteering_services,'591902724305780736',"RT @TigerNaMo: RSS Volunteers are leaving for Nepal..
#earthquake"
131,sympathy_and_emotional_support,'591902724339290112',RT @rammadhavbjp: Earthquake in Nepal devastating. Loss of life n property seems enormous. Govt  n people of Bharat will do everything to h‰Û_
132,injured_or_dead_people,'591902724389634049',
133,donation_needs_or_offers_or_volunteering_services,'591902724393816064',RT @thevirdas: Emergency contact Numbers for Nepal. Spread the word guys please. http://t.co/DbIn2zuqSu
134,donation_needs_or_offers_or_volunteering_services,'591902724964413440',"FoxNews: BREAKING: At least 71 people dead killed in earthquake, Nepal's Home Ministry says"
135,injured_or_dead_people,'591902725216014336',RT @muftimenk: Pray for #Nepal where a powerful earthquake has struck. May the Almighty grant them ease to face this calamity with utmost s‰Û_
136,donation_needs_or_offers_or_volunteering_services,'591902725362724864',"Over hundred reported death due to earthquake in Nepal. God help them. 

May their soul rest in peace !!

#EarthquakeInNepal"
137,donation_needs_or_offers_or_volunteering_services,'591902725551443968',"TV: 2 Dead, 100 Injured in Bangladesh From Nepal Quake: TV report: 2 dead, 100 injured in Bangladesh from eart... http://t.co/EAvbfTk4qH"
138,injured_or_dead_people,'591902726260264960',
139,donation_needs_or_offers_or_volunteering_services,'591902726344220672',
140,donation_needs_or_offers_or_volunteering_services,'591902726608461829',"RT @BJPsudhanRSS: #earthquake in Nepal leads to heavy destruction in Agra
Watch here: http://t.co/1Q5PuByZT5 http://t.co/JBxHFxckNH"
141,other_useful_information,'591902726675689472',RT @AP: BREAKING: At least 71 people killed in magnitude-7.9 earthquake in Nepal
142,other_useful_information,'591902727044603904',"Since there is less free and open space, people are gathering to road. #earthquake #nepal http://t.co/Uil7vIi96U"
143,missing_trapped_or_found_people,'591902727430479872',"RT @IndiaBTL: Missionaries smell potential souls for harvesting. Reach Nepal.
Mohan Bhagwat proved right.Their ""seva"" is a mission https://‰Û_"
144,other_useful_information,'591902727531155456',RT @calicut_sfc: Helpline numbers for friends in #Nepal stuck in tremors Plz RT or Re-post! @Suriya_offl @kegvraja @dirvenkatprabhu http://‰Û_
145,other_useful_information,'591902727925571584',God bless everyone in nepal...
146,missing_trapped_or_found_people,'591902728223387648',RT @SumanKhadka14: my heart goes out to all those experiencing earthquake and aftershocks in Nepal. stay strong. look out for each other.
147,other_useful_information,'591902728579731456',"RT @IndiaBTL: 15th Earthquake just hit Nepal. Intensity again around 5 http://t.co/RlrXIVxZ2Q
Casualty mark reaching to 150. Sad. http://t.‰Û_"
148,displaced_people_and_evacuations,'591902728579756033',The soil of Kathmandu valley is an ancient lakebed that produces high-intensity vibrations during a quake http://t.co/p9lq8glizj
149,other_useful_information,'591902728596525056',Shocking News The Earthquake Damage the beautiful #Nepal Hope Everything is well Now there _Ù÷¤
150,other_useful_information,'591902728692961280',RT @iamsrk: ‰ÛÏ@googleindia: We‰Ûªve just launched a Person Finder instance to help track missing persons for the #Nepal earthquake‰ÛÓ&gt;http://t.c‰Û_
151,donation_needs_or_offers_or_volunteering_services,'591902728999186432',"RT @sonakshisinha: Just read abt the earthquake in nepal! Prayers with those affected! Pls help in any way u can, start by sharing this! ht‰Û_"
152,injured_or_dead_people,'591902729796063232',"RT @timesofindia: India to rush a relief team to Nepal to assist in earthquake relief, reports Times Now #earthquake"
153,other_useful_information,'591902729871564800',
154,displaced_people_and_evacuations,'591902730165288960',RT @AP: BREAKING: At least 71 people killed in magnitude-7.9 earthquake in Nepal
155,donation_needs_or_offers_or_volunteering_services,'591902730286858241',RT @aakarpost: 7 story building collapsed in Sat-tale Kapan. #kathmandu #Nepal http://t.co/e9uoLbYB6Y
156,injured_or_dead_people,'591902730773377024',RT @JeabWattana: Pray for Nepal _Ùª_Ùª_Ùª
157,sympathy_and_emotional_support,'591902731004063744',RT @sunnymovies: #PrayforKathmandu a man being rescued after a massive #Earthquake in #Nepal #NepalEarthquake all we can do is #Pray http:/‰Û_
158,donation_needs_or_offers_or_volunteering_services,'591902731285069824',"RT @IndiaBTL: Missionaries smell potential souls for harvesting. Reach Nepal.
Mohan Bhagwat proved right.Their ""seva"" is a mission https://‰Û_"
159,donation_needs_or_offers_or_volunteering_services,'591902731658395649',RT @akshaykumar: Sad 2 see this image of extensive damage due to the #earthquake in Nepal.My prayers with the victims &amp; their families http‰Û_
160,donation_needs_or_offers_or_volunteering_services,'591902731696214017',"Strong earthquake rocks Nepal, damages Kathmandu. http://t.co/bBKVOkNLIi"
161,injured_or_dead_people,'591902733222879232',
162,donation_needs_or_offers_or_volunteering_services,'591902733583552513',"RT @TheAsianAgeNews: MEA opens 24 hour Control Room for queries regarding the Nepal Earthquake. 
Numbers:
+91 11 2301 2113
+91 11 2301 4104‰Û_"
163,donation_needs_or_offers_or_volunteering_services,'591902733730480128',#BREAKINGNEWS: At least 71 people killed in magnitude-7.9 #earthquake in #Nepal  http://t.co/OaAbsc3ifn
164,injured_or_dead_people,'591902733793239040',RT @EconomicTimes: Rescuers clear the debris at Durbar Sqaure after an earthquake in Kathmandu (Image: AP) http://t.co/XHgbEMxUKC
165,injured_or_dead_people,'591902733856165888',"RT @BreakingNews: More than 100 people killed in powerful Nepal earthquake, say government officials and police - @BBCNews http://t.co/1FiK‰Û_"
166,other_useful_information,'591902733877248000',"Big B expresses shock over Nepal quake, reminisces ‰Û÷Mahaan‰Ûª shoot. CLICK HERE--&gt; http://t.co/4dZTkPx5Kj #KhufiaBollywood"
167,missing_trapped_or_found_people,'591902734023987200',
168,sympathy_and_emotional_support,'591902734112018433',"RT @JulieMakLAT: Awful sight. Kathmandu's Darbar Square, a UNESCO World Heritage site, in ruins after today's earthquake. RT @rkarnad http:‰Û_"
169,donation_needs_or_offers_or_volunteering_services,'591902734300815360',"RT @iamsrk: May Allah look after all. Here r the emergency contact numbers for Nepal,share, help. Prayers with all in Nepal.
http://t.co/Pz‰Û_"
170,injured_or_dead_people,'591902734342758400',"RT @TimesNow: MEA opens 24 hour Control Room for queries regarding the Nepal Earthquake. 
Numbers:
+91 11 2301 2113
+91 11 2301 4104
+91 11‰Û_"
171,missing_trapped_or_found_people,'591902735114444800',"TV: 2 Dead, 100 Injured in Bangladesh From Nepal Quake: TV report: 2 dead, 100 injured in Bangladesh from eart... http://t.co/muj3YL3ztY"
172,not_related_or_irrelevant,'591902735420657665',"RT @vikaskyogi: In the wake of the #earthquake in Nepal, a 24 hour control room has been set up by MEA.
+91 11 2301 2113
+91 11 2301 4104
+‰Û_"
173,other_useful_information,'591902735697465345',RT @AP: BREAKING: At least 71 people killed in magnitude-7.9 earthquake in Nepal
174,missing_trapped_or_found_people,'591902736007856129',RT @thevirdas: List of doctors and hospitals in Nepal. http://t.co/EQaWA2yAAT
175,donation_needs_or_offers_or_volunteering_services,'591902736037355520',RT @MattStephensWV: One hour before Nepal earthquake. Small temple behind me completely collapsed. Absolutely surreal. #NepalQuake http://t‰Û_
176,missing_trapped_or_found_people,'591902736242741248',"RT @ZeeNews: Two major quakes rattle Nepal; historic Dharahara Tower collapses, deaths reported in India
http://t.co/3bvLrid9dx http://t.co‰Û_"
177,injured_or_dead_people,'591902736326656001',"RT @IndiaToday: Nepal police says 108 dead in quake according to ""initial estimate"" http://t.co/Cq18N7HKf2"
178,other_useful_information,'591902736381124609',Strong earthquake strikes Nepal http://t.co/Gkm0uF14lN
179,sympathy_and_emotional_support,'591902736418885632',RT @PresRajapaksa: Tragic news of the earthquake in Nepal. I pray the nation and the people find the strength to cope with this terrible tr‰Û_
180,missing_trapped_or_found_people,'591902736536469505',
181,donation_needs_or_offers_or_volunteering_services,'591902737140318208',RT @tiscatime: Shocking news of the #earthquake from Nepal.. Praying for the safety of all affected
182,missing_trapped_or_found_people,'591902737182236672',"#USnews. Key facts about Nepal, site of magnitude-7.9 quake  /#news"
183,sympathy_and_emotional_support,'591902737362767872',RT @ShujaRabbani: Some friends in Sydney who come from #Nepal can't reach their families. My prayers are with them. #NepalEarthquake #Nepal‰Û_
184,not_related_or_irrelevant,'591902737601851393',Morning. Ahead on @news4today  powerful earthquake rocks Nepal dozens are dead.Plus why @starbucks is giving out free coffee in some places.
185,donation_needs_or_offers_or_volunteering_services,'591902737622786049',RT @ABC: Significant damage in Nepal after major 7.9 magnitude earthquake strikes: http://t.co/yXKpIsBixf http://t.co/qag33cGfmG
186,donation_needs_or_offers_or_volunteering_services,'591902737731747840',
187,not_related_or_irrelevant,'591902738134339586',RT @ArKrTi: Nepal was Already Soft Target for Missionaries&amp;Ford foundation Types NOW after #earthquake it will become paradise for them @up‰Û_
188,sympathy_and_emotional_support,'591902738163703808',"RT @ndtv: PM Narendra Modi speaks to Nepal President after 7.9 magnitude earthquake hits Nepal
http://t.co/Jeviy0QmGY http://t.co/7LfumA2PYv"
189,other_useful_information,'591902738583199745',"RT @NewEarthquake: 5.0 earthquake, 31km NNW of Nagarkot, Nepal. Apr 25 15:15 at epicenter (21m ago, depth 10km). http://t.co/DLQvLAnakq"
190,other_useful_information,'591902738860154880',
